,gender,race,age,course,interest,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_ccm_alumni,hear_hs_teacher,hear_hs_counselor,hear_in_app_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_home_mail,hear_other,event_open_house,event_inst_dec_day,event_campus_info_sess,event_titans_tuesday_info_sess,event_women_who_dare,event_regional_college_fair,event_hs_sharetime_info_sess,event_challenger_program,event_cybersecurity_info_protection_program,event_hs_info_sess,event_campus_visit_w_hs,event_campus_visit,event_workforce_development_class,event_corporate_training,event_teen_arts_festival,event_ccm_summer_camp,event_hour_of_code
0,Woman,Hispanic or Latino,18 and younger,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No,No,No
1,Woman,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Not Sure,Yes,Not Sure,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,Not Sure
2,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,4,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,1,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Sure
4,Man,White/Caucasian,19-20,CMP 101 Computer Information Literacy,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,Yes,Yes,No,No,No,Not Sure,No,No,No,Yes,No,No,No,No,No
5,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,2,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6,Woman,Hispanic or Latino,18 and younger,CMP 101 Computer Information Literacy,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
7,Woman,Black/African American,25-34,CMP 101 Computer Information Literacy,4,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,Woman,Black/African American,25-34,CMP 101 Computer Information Literacy,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,Woman,Hispanic or Latino,19-20,CMP 101 Computer Information Literacy,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,Woman,Hispanic or Latino,21-24,CMP 101 Computer Information Literacy,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Not Sure,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,Woman,Choose not to reply,18 and younger,CMP 101 Computer Information Literacy,2,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,Man,Choose not to reply,18 and younger,CMP 126 Computer Technology and Applications,2,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,Not Sure,No,No,Not Sure,No,No,No,No,No,No,No
13,Man,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
